epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9395,0.97015,1.85238,1.01209,0.96372,0.7859,0.90781,0.67656,1.00495,2.35845,0.9347,0.000659722,0.000659722,0.000659722
2,62.2309,0.95532,1.08501,0.98534,0.9455,0.92398,0.96044,0.71623,0.91249,1.23301,0.97617,0.00130013,0.00130013,0.00130013
3,90.7046,0.93664,0.86317,0.97778,0.97535,0.93672,0.97384,0.7383,0.85322,0.90714,0.93785,0.00191413,0.00191413,0.00191413
4,119.098,0.91102,0.74927,0.97611,0.95173,0.93338,0.98353,0.73678,0.88045,0.70892,0.94604,0.0018812,0.0018812,0.0018812
5,147.546,0.87666,0.65518,0.9664,0.90645,0.97633,0.97787,0.71958,0.98508,0.71171,0.96524,0.0018416,0.0018416,0.0018416
6,175.727,0.87698,0.63032,0.97174,0.97003,0.94083,0.97692,0.75464,0.83354,0.6557,0.92074,0.001802,0.001802,0.001802
7,204.314,0.86667,0.59138,0.96552,0.95941,0.97896,0.98944,0.79449,0.7528,0.60326,0.91185,0.0017624,0.0017624,0.0017624
8,232.771,0.82634,0.57072,0.95087,0.97985,0.9645,0.98978,0.78385,0.78534,0.52767,0.90418,0.0017228,0.0017228,0.0017228
9,260.951,0.80404,0.55348,0.933,0.98409,0.98817,0.99423,0.79958,0.72713,0.53951,0.88341,0.0016832,0.0016832,0.0016832
10,289.324,0.80818,0.53943,0.93588,0.96282,0.98225,0.99372,0.82524,0.73359,0.50697,0.8874,0.0016436,0.0016436,0.0016436
11,318.374,0.77808,0.52283,0.93244,0.98716,0.99408,0.99032,0.804,0.74669,0.45108,0.88989,0.001604,0.001604,0.001604
12,347.193,0.76861,0.50746,0.92821,0.9759,0.98817,0.98917,0.80312,0.73719,0.47073,0.87722,0.0015644,0.0015644,0.0015644
13,375.777,0.77524,0.51084,0.92619,0.91894,0.98225,0.98746,0.81732,0.64637,0.50849,0.85389,0.0015248,0.0015248,0.0015248
14,404.361,0.76575,0.49735,0.93245,0.97848,0.98817,0.98727,0.78234,0.81167,0.48681,0.89827,0.0014852,0.0014852,0.0014852
15,433.215,0.75981,0.50287,0.92108,0.98166,0.98817,0.99381,0.81321,0.73344,0.45305,0.89074,0.0014456,0.0014456,0.0014456
16,461.92,0.74218,0.48015,0.92446,0.98244,0.99292,0.99184,0.83553,0.6568,0.43362,0.86711,0.001406,0.001406,0.001406
17,490.603,0.72173,0.46661,0.90925,0.99282,0.98817,0.99074,0.81983,0.66839,0.41217,0.87558,0.0013664,0.0013664,0.0013664
18,519.363,0.7323,0.46499,0.91306,0.97835,0.98225,0.99307,0.84889,0.63875,0.41432,0.86314,0.0013268,0.0013268,0.0013268
19,548.117,0.70855,0.45427,0.90177,0.98072,0.98225,0.99258,0.81245,0.74212,0.41782,0.87437,0.0012872,0.0012872,0.0012872
20,576.437,0.7159,0.43771,0.89986,0.98822,0.99255,0.99369,0.83456,0.68485,0.42566,0.86295,0.0012476,0.0012476,0.0012476
21,605.099,0.69685,0.43467,0.89975,0.96533,0.9886,0.99363,0.82516,0.68111,0.39767,0.87941,0.001208,0.001208,0.001208
22,633.873,0.70239,0.43693,0.90936,0.99394,0.96996,0.99252,0.83569,0.63116,0.3886,0.84635,0.0011684,0.0011684,0.0011684
